Philippines,PHL,61558898,77958223,101325201,103031365,104875266,106738501,108568836,110380804,112190977,113880328,115559009,117337368
Poland,POL,38110782,38258629,38011735,37986412,37970087,37974826,37974750,37965475,37899070,37747124,36821749,36685849
Portugal,PRT,9983218,10289898,10401062,10358076,10325452,10300300,10283822,10286263,10297081,10361831,10409704,10525347
Puerto Rico,PRI,3537000,3810605,3534874,3473232,3406672,3325286,3193354,3193694,3281557,3262693,3220113,3205691
Qatar,QAT,441675,645937,2214465,2414573,2595166,2711755,2766732,2807235,2760385,2688235,2695122,2716391
Romania,ROU,23201835,22442971,19908979,19815616,19702267,19588715,19473970,19371648,19265250,19122059,19047009,19056116
Russian Federation,RUS,147969406,146596869,144237223,144640716,145015460,145293260,145398106,145453291,145245148,144746762,144236933,143826130
Rwanda,RWA,7319962,8109989,11368451,11642959,11930899,12230339,12531808,12835028,13146362,13461888,13776698,14094683
Samoa,WSM,168186,184008,201757,203571,205544,207630,209701,211905,214929,218764,222382,225681
San Marino,SMR,23132,26823,33389,33570,33834,34056,34156,34178,34007,33745,33660,33642
Sao Tome and Principe,STP,120343,143714,197497,201124,204632,208036,211344,214599,218641,223107,227380,231856
Saudi Arabia,SAU,16004763,21547390,32125564,32749848,33416270,34193122,35018133,35827362,35997107,35950396,36408820,36947025
Senegal,SEN,7536001,9704287,13970308,14356181,14751356,15157793,15574909,16000781,16436120,16876720,17316449,17763163
Serbia,SRB,7586000,7516346,7130576,7095383,7058322,7020858,6982604,6945235,6899126,6834326,6664449,6618026
Seychelles,SYC,69507,81131,91359,93419,94677,95843,96762,97625,98462,99258,119878,119773
Sierra Leone,SLE,4325388,4584067,7140688,7314773,7493913,7677565,7861281,8046828,8233970,8420641,8605718,8791092
Singapore,SGP,3047132,4027887,5469724,5535002,5607283,5612253,5638676,5703569,5685807,5453566,5637022,5917648
Sint Maarten (Dutch part),SXM,27845,30519,37685,38825,38992,38615,38934,39648,40350,40708,40888,41163
Slovak Republic,SVK,5299187,5388720,5418649,5423801,5430798,5439232,5446771,5454147,5458827,5447247,5431752,5426740
Slovenia,SVN,1998161,1988925,2061980,2063531,2065042,2066388,2073894,2088385,2102419,2108079,2111986,2120937
Solomon Islands,SLB,324171,429978,597375,612660,628102,643634,659249,674993,691191,707851,724273,740424
Somalia,SOM,6999096,8721465,13309235,13763906,14292847,14864221,15411094,15981300,16537016,17065581,17597511,18143378
South Africa,ZAF,39877570,46813266,54729551,55876504,56422274,56641209,57339635,58087055,58801927,59392255,59893885,60414495
South Sudan,SSD,4750817,6114440,11213284,11194299,11066105,10658226,10395329,10447666,10606227,10748272,10913164,11088796
Spain,ESP,38867322,40567864,46480882,46444832,46484062,46593236,46797754,47134837,47365655,47415794,47778340,48373336
Sri Lanka,LKA,17204094,18776371,21239457,21336697,21425494,21506813,21670000,21803000,21919000,22156000,22181000,22037000
St. Kitts and Nevis,KNA,40636,45461,47789,47790,47788,47785,47761,47712,47642,47606,47657,47755
St. Lucia,LCA,142301,159500,174804,175623,176413,177163,177888,178583,179237,179651,179857,180251
St. Martin (French part),MAF,28127,29610,35261,35020,34811,34496,33852,33121,32553,31948,31791,32077
St. Vincent and the Grenadines,VCT,112487,113813,106912,106482,105963,105549,105281,104924,104632,104332,103948,103698
Sudan,SDN,21090886,26298773,37003245,38171178,39377169,40679828,41999059,43232093,44440486,45657202,46874204,48109006
Suriname,SUR,412756,478998,569682,575475,581453,587559,593715,600301,607065,612985,618040,623236
Sweden,SWE,8558835,8872109,9696110,9799186,9923085,10057698,10175214,10278887,10353442,10415811,10486941,10536632
Switzerland,CHE,6715519,7184250,8188649,8282396,8373338,8451840,8514329,8575280,8638167,8704546,8775760,8849852
Syrian Arab Republic,SYR,12408996,16307654,20072232,19205178,18964252,18983373,19333463,20098251,20772595,21324367,22125249,23227014
Tajikistan,TJK,5417860,6272998,8326348,8524063,8725318,8925525,9128132,9337003,9543207,9750064,9952787,10143543
Tanzania,TZA,26206012,34463704,50814552,52542823,54401802,56267032,58090443,59872579,61704518,63588334,65497748,67438106
Thailand,THA,55228410,63066603,69960943,70294397,70607037,70898202,71127802,71307763,71475664,71601103,71697030,71801279
Timor-Leste,TLS,758106,878360,1184830,1205813,1224562,1243235,1261845,1280438,1299995,1320942,1341296,1360596
Togo,TGO,3875947,5008035,7288383,7473229,7661354,7852795,8046679,8243094,8442580,8644829,8848699,9053799
Tonga,TON,98727,102603,106626,106122,105707,105415,105150,104951,105254,106017,106858,107773
Trinidad and Tobago,TTO,1266518,1332203,1450661,1460177,1469330,1478607,1504709,1519955,1518147,1525663,1531044,1534937
Tunisia,TUN,8440023,9893316,11428948,11557779,11685667,11811443,11933041,12049314,12161723,12262946,12356117,12458223
Turkiye,TUR,54324142,64113547,77181884,78218479,79277962,80312698,81407204,82579440,83384680,84147318,84979913,85326000
Turkmenistan,TKM,3720278,4569132,5663152,5766431,5868561,5968383,6065066,6158420,6250438,6341855,6430770,6516100
Turks and Caicos Islands,TCA,11709,18744,34985,36538,38246,39844,41487,43080,44276,45114,45703,46062
Tuvalu,TUV,9182,9638,10899,10877,10852,10828,10865,10956,11069,11204,11312,11396
Uganda,UGA,17586630,24020697,36336539,37477356,38748299,40127085,41515395,42949080,44404611,45853778,47249585,48582334
Ukraine,UKR,51891400,49176500,45272155,45167350,45038236,44880758,44690584,44474512,44207754,43848986,38000000,37000000
United Arab Emirates,ARE,1900151,3275333,8835951,8916899,8994263,9068296,9140169,9211657,9287289,9365145,9441129,9516871
United Kingdom,GBR,57247586,58892514,64602298,65116219,65611593,66058859,66460344,66836327,67081234,67026292,67791000,68350000
United States,USA,249623000,282162411,318386329,320738994,323071755,325122128,326838199,328329953,331526933,332048977,333271411,334914895
Uruguay,URY,3117012,3292224,3391662,3402818,3413766,3422200,3427042,3428409,3429086,3426260,3422794,3423108
Uzbekistan,UZB,20510000,24650400,30757700,31298900,31847900,32388600,32956100,33580350,34232050,34915100,35648100,36412350
Vanuatu,VUT,150882,192074,269927,276438,283218,290239,297298,304404,311685,319137,326740,334506
"Venezuela, RB",VEN,19750579,24427729,30193258,30529716,30741464,30563433,29825653,28971683,28490453,28199867,28301696,28838499
Viet Nam,VNM,66912613,79001142,91235504,92191398,93126529,94033048,94914330,95776716,96648685,97468029,98186856,98858950
Virgin Islands (U.S.),VIR,103963,108642,107882,107712,107516,107281,107001,106669,106290,105870,105413,104917
West Bank and Gaza,PSE,1978248,2922153,4173398,4270092,4367088,4454805,4569087,4685306,4803269,4922749,5043612,5165775
"Yemen, Rep.",YEM,13375121,18628700,27753304,28516545,29274002,30034389,30790513,31546691,32284046,32981641,33696614,34449825
Zambia,ZMB,7686401,9891136,15737793,16248230,16767761,17298054,17835893,18380477,18927715,19473125,20017675,20569737
Zimbabwe,ZWE,10113893,11834676,13855753,14154937,14452704,14751101,15052184,15354608,15669666,15993524,16320537,16665409
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 06/28/2024,,,,,,,,,,,,,
